URL,sold,Reference
http://dk.vestiairecollective.com/women-bags/travel-bags/gucci/black-leather-gucci-travel-bag-21441709.shtml,재고있음,21441709
http://dk.vestiairecollective.com/women-jewellery/earrings/morganne-bello/pink-yellow-gold-morganne-bello-earrings-21441697.shtml,재고있음,21441697
