Reference,sold,좋아요,URL,Online since,Categories,Category,Sub-category,Designer,Condition,Material,Colour,Location,사이즈,크기,Style,Details_explanation,정상가,할인가
21220048,재고있음,2,http://dk.vestiairecollective.com/women-shoes/sandals/valentino-garavani/black-leather-rockstud-valentino-garavani-sandals-21220048.shtml,2022-03-03,Women,Sandals,Shoes,Valentino Garavani,Very good condition,Leather,Black,"France, from the seller MytheresaXVestiaireCollective",38 EU,,,"Rockstud flat sandals. Black leather. Cage effect on the top, with golden studs. Adjustable ankle strap. Square ends. Leather insole. Made in Italy. Size: 38. Note: Signs of wear on the outer soles, Slight scratch at the right end. Packaging: dust bag.",£179.53,£179.53
21219904,재고있음,0,http://dk.vestiairecollective.com/women-shoes/sandals/valentino-garavani/multicolour-patent-leather-rockstud-valentino-garavani-sandals-21219904.shtml,2022-03-03,Women,Sandals,Shoes,Valentino Garavani,Good condition,Patent leather,Multicolour,"France, from the seller MytheresaXVestiaireCollective",38.5 EU,,,"Rockstud sandals. Pink/black, leather/patent leather. Cage effect on the top, with golden studs. Adjustable ankle strap. Pointed ends. Leather insole. Made in Italy. Size: 38.5. 10cm heel. Note: Wear marks on the outer soles, slight marks on the leather at the top of the heels, snag on the right heel. No packaging.",£242.36,£242.36
21219808,재고있음,0,http://dk.vestiairecollective.com/women-bags/handbags/chloe/camel-leather-chloe-handbag-21219808.shtml,2022-03-03,Women,Shoulder bags,Bags,Chloé,Very good condition,Leather,Camel,"France, from the seller MytheresaXVestiaireCollective",,"Width 15.4 in, Height 12.6 in",,"Camel leather handbag. Gold metal hardware. Front flap with clasp. Detachable adjustable shoulder strap. 2 patch pockets under the flap, a main pocket with zipped and patch pockets inside. Fabric lining. One patch pocket on the back. Bag charm. Height 32cm, width 39cm. Note: Marks and micro scratches on the clasp. Slight marks on the leather at the front and at the corners.",£403.93,£403.93
21219562,재고있음,0,http://dk.vestiairecollective.com/women-shoes/heels/dior/green-suede-dior-heels-21219562.shtml,2022-03-03,Women,Shoes,Heels,Dior,Very good condition,Suede,Green,"France, from the seller MytheresaXVestiaireCollective",39 EU,,,"Pointed toe pumps in bright green suede leather. 10cm heel. Size 39. With dust bags. Note: slight marks on the insoles, friction marks on the outer soles, slightly patinated base and tips, small friction marks on the back of the heels.",£107.72,£107.72
21219472,재고있음,0,http://dk.vestiairecollective.com/women-clothing/jackets/gucci/green-polyester-gucci-jacket-21219472.shtml,2022-03-03,Women,Jackets,Clothing,Gucci,Good condition,Polyester,Green,"France, from the seller MytheresaXVestiaireCollective",S International,,,"Green jacket with a multicolored metallic floral pattern. Ribbed trim in navy and red at collar, hem, and cuffs. Zip closure and pockets. White jersey lining. 65% polyamide, 35% polyester. Size label: S. Length 54cm. Note: yellowed lining at the neckline and armholes.",£655.27,£655.27
21219418,재고있음,1,http://dk.vestiairecollective.com/women-bags/handbags/saint-laurent/pink-leather-sac-de-jour-saint-laurent-handbag-21219418.shtml,2022-03-03,Women,Handbags,Bags,Saint Laurent,Very good condition,Leather,Pink,"France, from the seller MytheresaXVestiaireCollective",,"Width 10.2 in, Height 8.3 in",,"2017. Grayish pink Sac de Jour handbag with an embossed crocodile pattern. Silver colored brass fittings. Padlock and its keys. Smooth leather interior in the same tone. Double compartments with a central zipped pocket. 21x26x12cm, shoulder strap 115cm. With card. Without packaging. Note: slight small marks of friction here and there. Slight small marks at the bottom inside, light marks of friction at the top inside, slightly patinated handles.","£1,135.50","£1,135.50"
21179670,재고있음,2,http://dk.vestiairecollective.com/women-shoes/trainers/brunello-cucinelli/beige-suede-brunello-cucinelli-trainers-21179670.shtml,2022-03-03,Women,Shoes,Trainers,Brunello Cucinelli,Never worn,Suede,Beige,"France, from the seller MytheresaXVestiaireCollective",35.5 EU,,,"Beige and taupe brown satin leather and suede with silver chains on the sides. White details. Gold signature on the heel. Size 35.5. 4cm heel, 2cm sole. With dust bag.",£228.89,£228.89
21179643,재고있음,2,http://dk.vestiairecollective.com/women-shoes/trainers/brunello-cucinelli/anthracite-suede-brunello-cucinelli-trainers-21179643.shtml,2022-03-03,Women,Shoes,Trainers,Brunello Cucinelli,Very good condition,Suede,Anthracite,"France, from the seller MytheresaXVestiaireCollective",35.5 EU,,,"Satin leather and suede in anthracite gray and taupe brown with silver chains on the sides. White details. Gold signature on the heel. Size 35.5. 4cm heel, 2cm sole. With dust bag. Note: slight marks on the outer soles, slight small friction marks on the left side of the left shoe.",£228.89,£228.89
21175389,재고있음,4,http://dk.vestiairecollective.com/women-shoes/trainers/christian-louboutin/gold-leather-lou-spikes-christian-louboutin-trainers-21175389.shtml,2022-03-03,Women,Shoes,Trainers,Christian Louboutin,Very good condition,Leather,Gold,"France, from the seller MytheresaXVestiaireCollective",37.5 EU,,,"Lou Spikes high lace-up sneakers in pale gold canvas, leather and snake pattern leather. Nude beige leather lining. Without packaging. 37.5. Note: slight marks on the sides of the outsoles, dust on the outsoles.",£228.89,£228.89
21174991,재고있음,0,http://dk.vestiairecollective.com/women-shoes/boots/fendi/red-leather-fendi-boots-21174991.shtml,2022-03-03,Women,Others,Shoes,Fendi,Very good condition,Leather,Red,"France, from the seller MytheresaXVestiaireCollective",38 IT,,,"High heeled boots. Red Leather and cloth. Ribbed cloth effect at the back of the leg. Pointed toe, covered heel. Leather and cloth inside. Slip on. Size 38 It, heel 11cm, shaft 63cm. Note: Never worn but Very light storage marks, one black mark at the right heel counter. Box and dustbags included.",£439.84,£439.84
21174797,재고있음,10,http://dk.vestiairecollective.com/women-bags/handbags/stella-mccartney/black-cloth-falabella-stella-mccartney-handbag-21174797.shtml,2022-03-03,Women,Crossbody bags,Bags,Stella McCartney,Very good condition,Cloth,Black,"France, from the seller MytheresaXVestiaireCollective","Width 10.6 in, Height 9.4 in",,,Falabella shoulder bag in black suede canvas. Silver metal chain finish detail. Long chain shoulder strap. Front flap with magnetic closure. Main compartment in pink fabric lining with a zipped pocket. Size 24x27cm. With dust bag.,£233.38,£233.38
21174632,재고있음,1,http://dk.vestiairecollective.com/women-shoes/sandals/valentino-garavani/black-rubber-valentino-garavani-sandals-21174632.shtml,2022-03-03,Women,Flip flops,Shoes,Valentino Garavani,Very good condition,Rubber,Black,"France, from the seller MytheresaXVestiaireCollective",39 EU,,,Black leather and rubber flip flops. VLTN written in white on the front strap. Size 39EU. With box and dustbag. Note: slight friction marks on the outsole.,£166.06,£166.06
21174545,재고있음,1,http://dk.vestiairecollective.com/women-shoes/ankle-boots/gucci/purple-leather-gucci-ankle-boots-21174545.shtml,2022-03-03,Women,Others,Shoes,Gucci,Very good condition,Leather,Purple,"France, from the seller MytheresaXVestiaireCollective",37.5 IT,,,"Purple gray leather slip-on ankle boots. Round toe, elasticated at the ankle. Wide pale pink rubber sole. Size 37.5IT, 6cm heel. Note: slight marks of friction on the rubber sole. Slight marks on the leather, almost invisible.",£390.47,£390.47
21174389,재고있음,2,http://dk.vestiairecollective.com/women-bags/handbags/stella-mccartney/orange-synthetic-falabella-stella-mccartney-handbag-21174389.shtml,2022-03-03,Women,Shoulder bags,Bags,Stella McCartney,Very good condition,Synthetic,Orange,"France, from the seller MytheresaXVestiaireCollective",,"Width 11.8 in, Height 8.7 in",,"Falabella Flap shoulder bag in bright orange faux suede. Stitched trim with chain links. The silver hardware extends to form the shoulder strap. Front flap with magnetic snap closure that opens to a monogrammed fabric-lined interior with one patch pocket. Circle brand bag charm. Height 22cm, width 30cm. Note: a very small stain on the back, not very visible.",£228.89,£228.89
21174753,재고있음,2,http://dk.vestiairecollective.com/women-bags/handbags/givenchy/white-leather-nightingale-givenchy-handbag-21174753.shtml,2022-03-03,Women,Shoulder bags,Bags,Givenchy,Very good condition,Leather,White,"France, from the seller MytheresaXVestiaireCollective","Width 14.2 in, Height 14.2 in",,,"Crocodile-embossed leather tote bag in white. Two handles, a removable shoulder strap with a removable zipped cover. Magnetic snap closure on top. Main compartment in red suede and beige canvas lining with a zipped pocket and a patch pocket. Size 36x36cm. Note: slight colored marks on the cover of the bracelet.",£439.84,£439.84
21174456,재고있음,1,http://dk.vestiairecollective.com/women-shoes/boots/stella-mccartney/beige-vegan-leather-stella-mccartney-boots-21174456.shtml,2022-03-03,Women,Others,Shoes,Stella McCartney,Very good condition,Vegan leather,Beige,"France, from the seller MytheresaXVestiaireCollective",40 EU,,,"Brownish beige vegan leather boots. Pointed toe with gold plate, plastic heels, laceless, faux suede lining. Size 40 EU, heel 11 cm. No packaging. Note: Slight fit marks on leather and outsoles.",£287.24,£287.24
21174736,재고있음,30,http://dk.vestiairecollective.com/women-bags/handbags/fendi/green-cotton-mamma-baguette-fendi-handbag-21174736.shtml,2022-03-03,Women,Shoulder bags,Bags,Fendi,Very good condition,Cotton,Green,"France, from the seller MytheresaXVestiaireCollective","Width 11.4 in, Height 8.3 in",,,Mamma Baguette shoulder bag in shades of green cotton. An adjustable braided leather and cotton shoulder strap. Front flap with leather strap and gold metal buckle with magnetic snap closure. Main compartment with a zipped pocket. Size 21x29cm. Note: slight colored marks in the lining.,£399.44,£399.44
21174691,재고있음,1,http://dk.vestiairecollective.com/women-bags/handbags/fendi/multicolour-exotic-leathers-silvana-fendi-handbag-21174691.shtml,2022-03-03,Women,Handbags,Bags,Fendi,Good condition,Exotic leathers,Multicolour,"France, from the seller MytheresaXVestiaireCollective","Width 10.6 in, Height 9.1 in",,Vintage,Silvana multicolored crocodile and leather handbag. Adjustable handle in blue crocodile with a golden buckle. Brown crocodile front flap with hidden turnbuckle. Bag in mustard grained leather and smooth black leather. Main compartment in beige linen lining with a zipped pocket. Four feet. Size 23x27cm. Note: rubbing marks on the smooth leather and on the flap.,£565.50,£565.50
21371474,재고있음,14,http://dk.vestiairecollective.com/women-clothing/jackets/the-north-face-x-gucci/beige-synthetic-the-north-face-x-gucci-jacket-21371474.shtml,2022-03-03,Women,Jackets,Clothing,The North Face x Gucci,Very good condition,Synthetic,Beige,"France, from the seller MytheresaXVestiaireCollective",XS International,,,"The North Face x Gucci beige hooded jacket. Front monogrammed yoke with \""The North Face Gucci\"" white embroidery. Brown ribbed finish. Front closure with a zip and two patch pockets. Drawstrings on the hood. Blue fabric lining. Size: XS - L 63cm. Made in Italy. Fabric 1: 90% acrylic - 10% polyester - Fabric 2: 71% cotton - 29% polyester. Note: Slight signs of wear and loose fit.",£902.11,£902.11
21175124,재고있음,15,http://dk.vestiairecollective.com/women-clothing/jackets/saint-laurent/black-velvet-saint-laurent-jacket-21175124.shtml,2022-03-03,Women,Jackets,Clothing,Saint Laurent,Very good condition,Velvet,Black,"France, from the seller MytheresaXVestiaireCollective",44 FR,,,"Black velvet blazer. Formal collar with satin lapel. Two side pockets, one chest pocket, single button closure. Buttons at the cuffs. Shoulder pads. Black fabric lining, 2 inside pockets. Size 44 UK. Dimensions: length 73cm at the longest, shoulders 43cm, chest 52cm. Composition: 65% viscose, 35% cupro, lining: 100% silk. Note: slight signs of wear on the wool.",£350.07,£350.07
21371487,재고있음,6,http://dk.vestiairecollective.com/women-shoes/boots/stella-mccartney/grey-vegan-leather-stella-mccartney-boots-21371487.shtml,2022-03-03,Women,Others,Shoes,Stella McCartney,Very good condition,Vegan leather,Grey,"France, from the seller MytheresaXVestiaireCollective",37.5 EU,,,Stella McCartney gray boots. Square toe. Zip closure on the sides. Thick heels. Antique golden hardware. Size: 37.5 EU. Heel height: 11.5 cm. Sold with dustbag and box. Made in Italy. Note: Small traces of use on the outer soles.,£543.06,£543.06
21175554,재고있음,4,http://dk.vestiairecollective.com/women-shoes/flats/christian-louboutin/black-leather-madame-mix-christian-louboutin-flats-21175554.shtml,2022-03-03,Women,Shoes,Flats,Christian Louboutin,Very good condition,Leather,Black,"France, from the seller MytheresaXVestiaireCollective",38 EU,,,"Madame Mix mules in black leather with silver studs. Without packaging. Size 38. Note: slight creases, marks on the inside of the heels, small marks on the insoles, friction marks on the outer soles and heel tips.",£166.06,£166.06
21175161,재고있음,6,http://dk.vestiairecollective.com/women-bags/handbags/fendi/blue-leather-fendi-handbag-21175161.shtml,2022-03-03,Women,Crossbody bags,Bags,Fendi,Very good condition,Leather,Blue,"France, from the seller MytheresaXVestiaireCollective",,"Width 9.1 in, Height 5.5 in",,"Small multicolor leather shoulder bag. Gold metal hardware. Blue, yellow, off-white leather. FF at the front. Detachable chain shoulder strap. Front flap with magnetic closure. Fabric lining with a patch pocket inside. Height 14cm, including 23cm. Dust bag included. Note: Very slight wear marks on the leather.",£789.91,£789.91
21371692,재고있음,27,http://dk.vestiairecollective.com/women-bags/handbags/prada/navy-leather-galleria-prada-handbag-21371692.shtml,2022-03-03,Women,Mini bags,Bags,Prada,Very good condition,Leather,Navy,"France, from the seller MytheresaXVestiaireCollective",,"Width 6.3 in, Height 4.7 in",,"Navy Saffiano leather mini bag. Year: 2019. Model: Galleria. Height: 12 cm, width: 16 cm, depth: 10 cm. Top zip closure, gold metal details, keyless padlock, removable and adjustable shoulder strap. Worn on the shoulder or crossed. Made in Italy. No box and no invoice. Dust bag included. The corners and the trim are slightly patinated.",£650.78,£650.78
21371539,재고있음,2,http://dk.vestiairecollective.com/women-clothing/coats/gucci/anthracite-leather-gucci-coat-21371539.shtml,2022-03-03,Women,Coats,Clothing,Gucci,Very good condition,Leather,Anthracite,"France, from the seller MytheresaXVestiaireCollective",38 IT,,,"Wrap coat in anthracite sheepskin leather with gold and black velvet details. Lace closure. Wide elastic waistband with signature buckle. Buckle band at high collar. Sheep fur inside. Size label 38. Length 92cm. Note: slightly fluffy elastic waistband, small light marks on the bottom front to the middle.",£471.25,£471.25
21175534,재고있음,10,http://dk.vestiairecollective.com/women-shoes/trainers/christian-louboutin/multicolour-leather-louis-christian-louboutin-trainers-21175534.shtml,2022-03-03,Women,Shoes,Trainers,Christian Louboutin,Very good condition,Leather,Multicolour,"France, from the seller MytheresaXVestiaireCollective",38 EU,,,"Seavaste Spikes Calf Wallgraf low-top multicolor lace-up trainers with silver metal spike studs. Smooth, suede and patent leather. Without packaging. Size 38. Note: tiny marks on the insoles, marks on the sides and bottom of the outer soles.",£224.41,£224.41
21175414,재고있음,5,http://dk.vestiairecollective.com/women-shoes/trainers/christian-louboutin/burgundy-leather-lou-spikes-christian-louboutin-trainers-21175414.shtml,2022-03-03,Women,Shoes,Trainers,Christian Louboutin,Very good condition,Leather,Burgundy,"France, from the seller MytheresaXVestiaireCollective",37.5 EU,,,"Lou Spikes high-top lace-up sneakers in burgundy leather and metal. Beige leather lining. Without packaging. Size 37.5. Please note: slight small marks on the insoles, friction marks on the sides and bottom of the outsoles, slight creases from walking. Little dust.",£157.08,£157.08
21174910,재고있음,16,http://dk.vestiairecollective.com/women-shoes/trainers/balenciaga/white-cloth-triple-s-balenciaga-trainers-21174910.shtml,2022-03-03,Women,Shoes,Trainers,Balenciaga,Very good condition,Cloth,White,"France, from the seller MytheresaXVestiaireCollective",38 EU,,,Triple S. White fabric. Double foam and mesh. Embroidered waist at the edge of the tip. Triple S rubber branding to tongue. Two-tone laces reminiscent of hiking shoe laces. 3-layer outsole. Pull-on back tab and pull-on tab. Size 38. Without packaging. Note: slight marks on the outsoles.,£439.84,£439.84
21174571,재고있음,3,http://dk.vestiairecollective.com/women-shoes/heels/fendi/black-cloth-fendi-heels-21174571.shtml,2022-03-03,Women,Shoes,Heels,Fendi,Very good condition,Cloth,Black,"France, from the seller MytheresaXVestiaireCollective",38 IT,,,"Black and brown transparent heels. Pointed toe in entirely monogrammed transparent tulle. Open back with a black elastic strap around the ankle. Silvery black pumps. Size 38IT, heel 9.5cm. Note: slight friction marks on the outsole. Slight snag in the right heel.",£246.85,£246.85
21175139,재고있음,56,http://dk.vestiairecollective.com/women-bags/handbags/celine/multicolour-leather-trapeze-celine-handbag-21175139.shtml,2022-03-03,Women,Handbags,Bags,Celine,Very good condition,Leather,Multicolour,"France, from the seller MytheresaXVestiaireCollective",,"Width 10.6 in, Height 7.9 in",,"Trapeze handbag in multicolored leather. Pink, brown, orange leather. A top handle. Flap with hook and eye closure, zip closure inside. A zipped pocket on the back of the bag. Lining in burgundy leather, 2 patch pockets. Removable shoulder strap. Height 20cm, width 27cm. Note: slight wear marks on the leather. Dust bag included.",£372.51,£372.51
21175067,재고있음,0,http://dk.vestiairecollective.com/women-shoes/heels/gucci/ecru-leather-gucci-heels-21175067.shtml,2022-03-03,Women,Shoes,Heels,Gucci,Very good condition,Leather,Ecru,"France, from the seller MytheresaXVestiaireCollective",39 IT,,,"Moccasin with buckle in ecru leather. Rhinestone G buckle, rhinestone detail around the heel, square toe, square heel, leather lining, leather sole. Size 39 It, 5cm heel. Made in Italy. Box and dustbag included. Note: Very light storage marks. Marking on the leather at the heel counters.",£677.71,£677.71
21174587,재고있음,0,http://dk.vestiairecollective.com/women-clothing/tops/fendi/blue-silk-fendi-top-21174587.shtml,2022-03-03,Women,Blouses,Clothing,Fendi,Very good condition,Silk,Blue,"France, from the seller MytheresaXVestiaireCollective",40 IT,,,"Blue and yellow silky blouse. Hearts and padlock pattern. Stand-up collar to tie in the back, long pleated sleeves and white buttoned cuffs. Slightly gathered in the front. Size 40IT, length 72cm. 100% silk.",£453.30,£453.30
21371525,재고있음,17,http://dk.vestiairecollective.com/women-bags/handbags/bottega-veneta/black-leather-bottega-veneta-handbag-21371525.shtml,2022-03-03,Women,Handbags,Bags,Bottega Veneta,Very good condition,Leather,Black,"France, from the seller MytheresaXVestiaireCollective",,"Width 14.2 in, Height 6.7 in",,"MM handbag or arm bag in braided and smooth black leather with dark gray brass details. Front pocket with flap. Interior in suede or black leather. Single compartment. Piped pocket. 17x36cm. With dust bag. To note; scuff marks on the brass, scuff marks on the front pocket and on the upper edges, slightly weathered corners, scuff marks on the inside plate.",£668.73,£668.73
21371450,재고있음,46,http://dk.vestiairecollective.com/women-bags/handbags/chanel/white-leather-31-chanel-handbag-21371450.shtml,2022-03-03,Women,Handbags,Bags,Chanel,Very good condition,Leather,White,"France, from the seller MytheresaXVestiaireCollective",,"Width 15.4 in, Height 15.7 in",,"Chanel white leather \""31\"" handbag. Tweed inserts. Rounded incorporated handle. Front closure with a CC metal yoke. One main compartment with two zipped patch pockets. Black fabric lining. Gold hardware. Small shoulder strap in white and gray leather. Incorporate link with carabiner inside. H 40cm - W 39cm. Made in Italy. Note: Slight traces of use, micro-scratches on the metal parts and little wear on the white parts.","£2,562.72","£2,562.72"
21371420,재고있음,12,http://dk.vestiairecollective.com/women-clothing/skirts/saint-laurent/black-viscose-saint-laurent-skirt-21371420.shtml,2022-03-03,Women,Mini,Clothing,Saint Laurent,Never worn,Viscose,Black,"France, from the seller MytheresaXVestiaireCollective",36 FR,,,Saint Laurent black gathered mini skirt. Side closure with a zip and a hook. Black satin lining. Size: 36 FR. L 34cm - W 36cm. Composition: 53% acetate - 47% viscose - Lining: 100% silk.,£139.13,£139.13
21356547,재고있음,11,http://dk.vestiairecollective.com/women-clothing/dresses/prada/black-wool-prada-dress-21356547.shtml,2022-03-03,Women,Mid-length,Clothing,Prada,Very good condition,Wool,Black,"France, from the seller MytheresaXVestiaireCollective",42 IT,,,"Mid-length dress in black wool. Round neck, short sleeves. Tied detail at the waist. Crumpled effect fabric. Zipped closure at the back. Size 42 IT, length 105cm. 55% wool, 45% silk. Made in Italy.",£134.64,£134.64
21371443,재고있음,6,http://dk.vestiairecollective.com/women-bags/handbags/louis-vuitton/green-leather-louis-vuitton-handbag-21371443.shtml,2022-03-03,Women,Handbags,Bags,Louis Vuitton,Very good condition,Leather,Green,"France, from the seller MytheresaXVestiaireCollective",,"Width 14.2 in, Height 10.2 in",,"Louis Vuitton gray leather handbag. Rectangular shape. Embossed monogrammed leather. Two handles. A patch pocket on the front. Camel finish. Silver zipper. One main compartment, one zipped patch pocket, one phone patch pocket and one patch pocket. Black fabric lining. Silver hardware. Sold with dustbag. Made in France. H 26cm - W 36cm. Note: Very slight traces of use on the leather and the lining.",£754.01,£754.01
21371437,재고있음,11,http://dk.vestiairecollective.com/women-bags/backpacks/louis-vuitton/brown-cloth-palm-springs-louis-vuitton-backpack-21371437.shtml,2022-03-03,Women,Bags,Backpacks,Louis Vuitton,Very good condition,Cloth,Brown,"France, from the seller MytheresaXVestiaireCollective",,"Width 7.9 in, Height 11.4 in",,"Louis Vuitton brown \""Palm Spring\"" backpack. Louis Vuitton brown monogram coated canvas. Small zipped pocket on the front. Closing with a zip. A main compartment with a patch pocket. Two adjustable black straps. A leather handle. Gold hardware. Sold with dustbag. H 29cm - W 20cm. Note: A small stain inside and micro-scratches on the metal parts.","£1,660.61","£1,660.61"
21371410,재고있음,6,http://dk.vestiairecollective.com/women-shoes/sandals/valentino-garavani/black-leather-rockstud-valentino-garavani-sandals-21371410.shtml,2022-03-03,Women,Sandals,Shoes,Valentino Garavani,Very good condition,Leather,Black,"France, from the seller MytheresaXVestiaireCollective",36.5 IT,,,"Valentino black \""Rockstud\"" sandals. Black suspenders with light gold studs on them. Two ankle clamps. Size: 36.5 EU. Sold with dust bag, additional nails and box. Made in Italy. A note: a hitch on the front of the right shoe.",£287.24,£287.24
21356581,재고있음,6,http://dk.vestiairecollective.com/women-clothing/dresses/chloe/black-silk-chloe-dress-21356581.shtml,2022-03-03,Women,Mini,Clothing,Chloé,Very good condition,Silk,Black,"France, from the seller MytheresaXVestiaireCollective",38 FR,,,"Mid-length black dress. Round neck 3/4 sleeves with zips at the cuffs. Pleated effect at the bottom of the sleeves and the dress. Crumpled effect fabric. Beige lining. Size 38Fr, length 94cm. 86% silk, 14% polyamide, lining 74% acetate, 26% silk. Made in France.",£134.64,£134.64
21356347,재고있음,4,http://dk.vestiairecollective.com/women-shoes/espadrilles/stella-mccartney/black-cloth-stella-mccartney-espadrilles-21356347.shtml,2022-03-03,Women,Shoes,Espadrilles,Stella McCartney,Never worn,Cloth,Black,"France, from the seller MytheresaXVestiaireCollective",35 EU,,,"Black and beige canvas espadrilles. Size: 35. Clean insoles, rubber outsoles also clean. Made in Italy. No box, no dustbag and no receipt.",£157.08,£157.08
21371414,재고있음,6,http://dk.vestiairecollective.com/women-clothing/skirts/balmain/khaki-wool-balmain-skirt-21371414.shtml,2022-03-03,Women,Mini,Clothing,Balmain,Very good condition,Wool,Khaki,"France, from the seller MytheresaXVestiaireCollective",34 FR,,,Balmain khaki mini skirt. Belt incorporated with a large golden buckle engraved Balmain on it. Two flap pockets on the front. Closing with a zip on the back. Gold hardware. Khaki twill lining. Size: 34 FR. L 33 cm - W 38 cm. Composition: 100% wool - Lining: 52% viscose - 48% cotton. Note: Small traces of use on the buckle.,£242.36,£242.36
21371405,재고있음,16,http://dk.vestiairecollective.com/women-shoes/trainers/chanel/blue-polyester-chanel-trainers-21371405.shtml,2022-03-03,Women,Shoes,Trainers,Chanel,Very good condition,Polyester,Blue,"France, from the seller MytheresaXVestiaireCollective",37 EU,,,Chanel blue low top sneakers. Tonal laces. White CC flocking on the sides. White midsole. Engraved black rubber soles. Size: 37 EU. Made in Italy. Note: Small traces of use on the white parts.,£318.66,£318.66
21356249,재고있음,5,http://dk.vestiairecollective.com/women-clothing/jackets/max-mara/black-synthetic-max-mara-jacket-21356249.shtml,2022-03-03,Women,Jackets,Clothing,Max Mara,Very good condition,Synthetic,Black,"France, from the seller MytheresaXVestiaireCollective",42 IT,,,"Max Mara The Cube black quilted sleeveless jacket. Size: FB 40/ IJ 42/ GB 10/ USA-CA-COL 8/ CH-A-NL-D 38/ MEX 30. Total length: 100 cm. A snap front closure, fully lined and padded. Front flap pockets. Composition label: 100% polyamide, lining: 100% polyester, 90% down, 10% feather. A zippered canvas shoulder strap included.",£157.08,£157.08
21430970,재고있음,16,http://dk.vestiairecollective.com/women-shoes/sandals/dolce-gabbana/white-patent-leather-dolce-gabbana-sandals-21430970.shtml,2022-03-02,Women,Mules,Shoes,Dolce \u0026 Gabbana,Never worn,Patent leather,White,"France, from the seller MytheresaXVestiaireCollective",39 IT,,,Flat mules in white patent leather with a pattern of pink and green roses. Size 39. With original box and dust bags.,£157.08,£157.08
21430950,재고있음,7,http://dk.vestiairecollective.com/women-shoes/sandals/dolce-gabbana/white-rubber-dolce-gabbana-sandals-21430950.shtml,2022-03-02,Women,Flip flops,Shoes,Dolce \u0026 Gabbana,Never worn,Rubber,White,"France, from the seller MytheresaXVestiaireCollective",39 IT,,,"Beachwear Rubber St Barth White flip flops with pink and green rose pattern print. With original box and dust bag. Size 39. Note: slight fine, inconspicuous and colored rubbing mark on the top of the left shoe.",£143.62,£143.62
21430912,재고있음,15,http://dk.vestiairecollective.com/women-shoes/boots/prada/black-cloth-prada-boots-21430912.shtml,2022-03-02,Women,Biker boots,Shoes,Prada,Very good condition,Cloth,Black,"France, from the seller MytheresaXVestiaireCollective",40 IT,,,"Black Re-nylon ankle boots with signature plaque on the top. Rubber platform. 100% regenerated nylon. Size 40. 7cm heel, 4cm sole. With original box and dustbag. Note: rub marks on the right side of the left boot at the base and on the right heel, slight marks on the outer soles.",£700.15,£700.15
21430758,재고있음,11,http://dk.vestiairecollective.com/women-shoes/sandals/gucci/beige-cloth-gucci-sandals-21430758.shtml,2022-03-02,Women,Mules,Shoes,Gucci,Never worn,Cloth,Beige,"France, from the seller MytheresaXVestiaireCollective",39 IT,,,"Beige shearling platform mules/sandals. Brown GG logo on top. Fur and leather inside. Size 39 It, platform 5cm. Never worn. Made in Italy. Box and dustbag included.",£709.12,£709.12
21430631,재고있음,7,http://dk.vestiairecollective.com/women-shoes/trainers/gucci/white-leather-ace-gucci-trainers-21430631.shtml,2022-03-02,Women,Shoes,Trainers,Gucci,Very good condition,Leather,White,"France, from the seller MytheresaXVestiaireCollective",37.5 IT,,,"Ace sneakers in white leather. Blue and red web stripe. Blue leather on the right heel and red on the left. Studs and beads around the outsoles. Box and dustbag included. Size 37.5 IT. Made in Italy. Note: Slight wear marks on the leather. Marks on tongues. Marks on the soles, slight marks in the pearls.",£246.85,£246.85
21430613,재고있음,8,http://dk.vestiairecollective.com/women-accessories/wallet/christian-louboutin/black-leather-christian-louboutin-wallet-21430613.shtml,2022-03-02,Women,Accessories,Wallets,Christian Louboutin,Very good condition,Leather,Black,"France, from the seller MytheresaXVestiaireCollective",,"Width 7.1 in, Height 3.5 in",,"Black leather studded wallet. Zipped closure, 2 compartments, one zipped pocket, 12 card slots, red leather lining. Height 9cm, width 18cm. Box and dustbag included. Note: one cob is a little discolored.",£166.06,£166.06
21355941,재고있음,7,http://dk.vestiairecollective.com/women-shoes/heels/amina-muaddi/camel-suede-begum-amina-muaddi-heels-21355941.shtml,2022-03-02,Women,Shoes,Heels,AMINA MUADDI,Never worn,Suede,Camel,"France, from the seller MytheresaXVestiaireCollective",40 EU,,,"Camel suede slingback pointed toe heels. Model: Begum. Size: 40. Heel height: 10 cm. Crystal embellishment on the front. Leather insoles that are clean, leather outsoles in tan with rubber injection that are also clean. Logo embossed at buffed leather footbed. Made in Italy. Box and dustbag provided.","£1,400.30","£1,400.30"
21355098,재고있음,18,http://dk.vestiairecollective.com/women-accessories/belts/valentino-garavani/red-leather-valentino-garavani-belt-21355098.shtml,2022-03-02,Women,Leather,Accessories,Valentino Garavani,Very good condition,Leather,Red,"France, from the seller MytheresaXVestiaireCollective",85 cm,,,Red leather and gold-tone brass with studs and curved cutout. Length adjustable from 60 to 85 cm. Width /-4.5cm. Without packaging. Note: slight marks on the lining.,£170.55,£170.55
21430882,재고있음,33,http://dk.vestiairecollective.com/women-accessories/belts/hermes/camel-leather-medor-hermes-belt-21430882.shtml,2022-03-02,Women,Leather,Accessories,Hermès,Very good condition,Leather,Camel,"France, from the seller MytheresaXVestiaireCollective",75 cm,,Vintage,"1994, Médor belt in gold-colored Courchevel leather and gold-plated brass. Size on the product: 74. Width 4cm. With dustbag and box. Note: friction marks on the brass, slight small marks on the lining.",£516.13,£516.13
